"","year","age_group_5_years","race_eth","first_degree_hx","age_menarche","age_first_birth","BIRADS_breast_density","current_hrt","menopaus","bmi_group","biophx","breast_cancer_history","count"
"260556",2002,5,1,0,9,9,9,0,1,9,0,0,1610
"883219",2007,7,3,1,9,4,3,0,2,9,0,9,1
"608928",2005,4,1,0,1,1,3,0,1,1,0,0,133
"556040",2004,8,1,0,9,9,2,0,2,9,0,0,2604
"876053",2007,7,1,0,1,9,3,0,2,9,0,0,118
"1051897",2009,4,9,9,9,9,4,9,9,9,9,9,298
"667354",2005,7,3,0,9,3,4,0,2,1,0,0,13
"697706",2005,10,1,0,9,9,1,0,2,2,0,9,9
"451546",2003,9,9,0,0,2,3,1,2,9,0,0,1
"447414",2003,9,1,9,9,9,2,9,2,9,0,9,7
"1108605",2009,8,5,0,0,3,2,0,2,2,0,0,5
"314603",2002,8,1,9,9,9,9,9,2,1,9,9,391
"482220",2004,3,1,1,9,3,9,0,1,1,0,0,51
"774033",2006,7,1,1,0,4,3,0,2,1,0,0,16
"904098",2007,9,2,0,9,9,9,0,2,2,0,0,14
"313619",2002,8,1,1,9,1,1,0,2,1,1,1,3
"740515",2006,5,1,0,9,3,2,9,9,9,9,9,2
"875857",2007,7,1,0,1,4,3,0,2,2,0,0,98
"967364",2008,6,1,0,9,9,3,0,9,9,0,0,879
"662624",2005,7,1,0,9,9,3,1,2,9,1,0,216
"189811",2001,8,1,0,9,9,3,1,2,9,0,0,1059
"1021374",2008,10,9,1,9,1,2,0,2,9,1,1,11
"28853",2000,5,1,9,9,9,1,9,9,9,0,9,43
"877978",2007,7,1,0,9,9,2,0,2,9,1,9,84
"961770",2008,6,1,0,0,4,3,0,2,3,0,0,6
"893766",2007,8,2,0,9,9,3,0,2,9,1,1,48
"172721",2001,6,9,0,9,9,3,0,1,9,1,9,62
"339439",2002,10,9,0,9,4,9,9,2,9,9,9,13
"201033",2001,9,1,0,9,9,9,1,2,9,0,0,348
"336870",2002,10,3,0,9,3,9,1,2,9,0,0,10
"396671",2003,6,1,0,1,2,2,0,1,4,0,0,29
"531399",2004,6,3,9,9,9,9,9,9,9,0,0,161
"127695",2001,4,1,1,9,4,9,0,1,9,0,0,126
"71975",2000,8,1,0,9,9,2,1,2,1,1,0,10
"497782",2004,4,9,9,9,9,9,9,9,9,9,9,8771
"273352",2002,6,1,0,0,3,9,0,1,2,0,0,2
"243032",2002,4,1,0,1,9,3,0,1,9,0,0,501
"636724",2005,5,9,0,9,9,9,0,9,9,1,0,132
"159618",2001,6,1,0,9,9,3,1,2,9,0,0,1577
"962830",2008,6,1,0,1,2,1,0,1,3,0,0,7
"245846",2002,4,1,1,0,3,3,0,1,1,0,0,25
"889077",2007,8,1,0,2,1,2,0,2,9,0,0,99
"74219",2000,8,1,9,9,9,3,0,2,9,0,9,1250
"567775",2004,9,1,0,9,9,2,0,2,9,1,1,343
"785911",2006,8,1,0,9,9,9,0,2,9,0,0,467
"37142",2000,6,1,0,0,1,3,1,2,9,0,0,56
"22792",2000,5,1,0,1,9,4,9,9,9,0,9,7
"819833",2006,12,2,0,9,9,3,0,2,9,0,0,98
"857304",2007,6,1,0,1,2,2,0,2,4,0,0,21
"565265",2004,9,1,0,1,0,2,0,2,1,1,1,11
"402012",2003,6,1,0,9,9,9,0,9,2,0,0,196
"493036",2004,4,3,0,9,9,9,0,1,9,0,0,260
"125970",2001,4,1,0,9,9,3,0,1,9,0,0,2833
"944412",2008,4,5,0,9,9,3,0,1,9,0,0,98
"276675",2002,6,1,0,2,1,9,0,2,3,0,0,4
"198301",2001,9,1,0,1,0,2,0,2,2,0,0,49
"260152",2002,5,1,0,9,9,2,0,3,9,0,0,507
"402099",2003,6,1,0,9,9,9,9,9,9,9,9,2315
"948903",2008,5,1,0,2,0,2,0,1,2,0,0,32
"1115015",2009,9,1,0,9,9,2,0,2,9,9,9,556
"312652",2002,8,1,1,1,1,2,0,2,1,1,1,4
"279535",2002,6,1,0,9,9,2,0,3,1,0,0,32
"669545",2005,7,5,0,9,1,3,1,2,2,0,0,8
"671670",2005,7,9,0,1,1,3,0,2,9,0,0,22
"53197",2000,6,5,0,9,9,3,1,2,2,0,0,25
